Genus;Species;Family;Order;"Common
names";"Faun
a";Distribution & References;Remarks;"Life
stages"
Epeira syn;nigra Vinson;Nephilidae;Araneae;;Afr;Madagascar (Decary, 1937);Nephilia inaurata (Walck.);
Nephila;inaurata (Walckenaer);Nephilidae;Araneae;;Afr;Madagascar (Decary, 1937);Epeira nigra Vinson syn;
Nephila;madagscariensis Vinson;Nephilidae;Araneae;;Afr;Madagascar (Decary, 1937);;
Araneae gen.;;;Araneae;;Afr;South Africa Gambia (Bodenheimer;;
Bostrichidae gen.;;Bostrichidae;Col;;Afr;Congo (DeFoliart 2002);;larva
Chrysobothris;fatalis Harold;Buprestidae;Col;jewel beetle;Afr;Angola (DeFoliart 2002);;larva
Lampetis;wellmani (Kerremans);Buprestidae;Col;jewel beetle;Afr;Angola (DeFoliart 2002);syn Psiloptera wellmani;larva
Lampetis sp.;;Buprestidae;Col;jewel beetle;Afr;Togo (Tchibozo 2015);as Psiloptera in Tchibozo but this is Neotropical;
Psiloptera syn;wellmani Kerremans;Buprestidae;Col;jewel beetle;Afr;Angola (DeFoliart 2002);Psiloptera is Neotropicalsee Lampetis wellmani (Kerremans);larva
Steraspis;amplipennis (Fahr.);Buprestidae;Col;jewel beetle;Afr;Angola (DeFoliart 2002);;larva
Sternocera;castanea (Olivier);Buprestidae;Col;jewel beetle;Afr;Benin (Riggi et al 2013) Burkina;;
Sternocera;feldspathica White;Buprestidae;Col;jewel beetle;Afr;Angola (DeFoliart 2002);;adult
Sternocera;funebris Boheman syn;Buprestidae;Col;jewel beetle;Afr;"Zimbabwe (Chavanduka, 1976;";see S. orissa;adult
Sternocera;interrupta (Olivier);Buprestidae;Col;jewel beetle;Afr;"Benin (Riggi et al 2013) Cameroun
(Seignobos et al., 1996) Burkina";;adult
Sternocera;orissa Buquet;Buprestidae;Col;jewel beetle;Afr;"Botswana (Nonaka, 1996), South Africa (Bodenheimer, 1951; Quin,
1959), Zimbabwe (Chavanduka,";syn S. funebris;adult
Scarites sp.;;Carabidae;Col;ground beetle;Afr;Angola (Bergier, 1941), Madagascar;;larva
Acanthophorus;"confinis Laporte de Cast.
syn";Cerambycidae;Col;long-horned beetle;Afr;Zambia (Mbata, 1995);"see Tithoes confinus
(Cast.)";
Acanthophorus;capensis White syn;Cerambycidae;Col;long-horned beetle;Afr;Zambia (Mbata, 1995);"see Tithoes capensis
(White)";
Acanthophorus;maculatus (F.) syn;Cerambycidae;Col;long-horned beetle;Afr;Zambia (Mbata, 1995);see Tithoes maculatus (F.);
Analeptes;trifasciata (F.);Cerambycidae;Col;long-horned beetle;Afr;"Nigeria (Banjo et al 2006), D.R.
Congo (Hoare, 2007) CAR";not Scarabaeidae!;larva
Ancylonotus .;tribulus Fabr.;Cerambycidae;Col;long-horned beetle;Afr;"Gabon, Senegal (Netolitzky, 1919),
West Africa (Bergier, 1941)";;
Ceroplesis;burgeoni Breuning;Cerambycidae;Col;long-horned beetle;Afr;Southern Africa (Malaisse, 1997);;
Macrotoma;edulis Karsch;Cerambycidae;Col;long-horned beetle;Afr;Sao Tomé and Principe (Netolitzky,;;
Macrotoma;natala Thomson;Cerambycidae;Col;long-horned beetle;Afr;Botswana (Roodt, 1993);;
Macrotoma sp.;;Cerambycidae;Col;long-horned beetle;Afr;CAR (Hoare 2007);;larva
Mallodon;downesi Hope;Cerambycidae;Col;long-horned beetle;Afr;"Central Africa (Bergier, 1941), South
Africa (Bodenheimer, 1951)";"syn Stenodontes downesi
Hope";larva
Petrognatha;gigas Fabr.;Cerambycidae;Col;long-horned beetle;Afr;"Gabon (Bergier 1941), Senegal
(Netolitzky 1919), CAR (Hoare 2007)";;
Plocaederus;frenatus Fåhraeus;Cerambycidae;Col;long-horned beetle;Afr;Central Africa (Bergier, 1941) South;;larva
Pycnopsis;brachyptera Thomson;Cerambycidae;Col;long-horned beetle;Afr;DR Congo (Malaisse, 1997);;
Stenodontes syn;downesi (Hope);Cerambycidae;Col;long-horned beetle;Afr;"Mozambique, South Africa
(Quin,1959) (DeFoliart 2002)";"see Mallodon downesi
Hope";
Sternotomis;itzingeri katangensis;Cerambycidae;Col;long-horned beetle;Afr;DR Congo (Malaisse, 1997);;
Tithoes;confinus (Cast.);Cerambycidae;Col;long-horned beetle;Afr;Zambia (Mbata, 1995);"Acanthophorus confinis (F.)
syn";larva
Tithoes;maculatus (F.);Cerambycidae;Col;long-horned beetle;Afr;Zambia (Mbata, 1995);"Acanthophorus  maculatus
F. syn";larva
Tithoes;capensis (White);Cerambycidae;Col;long-horned beetle;Afr;Zambia (Mbata, 1995);Acanthophorus capensis (White) syn;larva
Zographus;aulicus Bertolini;Cerambycidae;Col;long-horned beetle;Afr;"DR Congo (Malaisse, 1997) Angola
(DeFoliart 2002)";Z. aulicus var. ferox Harold;
Polyclaeis;equestris Boheman;Curculionidae;Col;weevil;Afr;South Africa (Quin, 1959);;adult
Polyclaeis;plumbeus Guérin;Curculionidae;Col;weevil;Afr;South Africa (Quin, 1959);;adult
Rhyna sp.;;Curculionidae;Col;weevil;Afr;Madagascar (Bodenheimer, 1951);;larva
Sipalinus;"aloysii-sabaudiae
Camerano";Curculionidae;Col;weevil;Afr;"Tanzania (Bodenheimer, 1951;
Harris, 1940)";;larva
Eugnoristus;monachus (Oliv.);Dryophthoridae;Col;weevil;Afr;Madagascar (Bodenheimer, 1951);;larva
Rhynchophorus;phoenicis (Fabr.);Dryophthoridae;Col;African palm weevil;Afr;"Angola (Santos Oliveira et al., 1976), Benin (Tchibozo et al 2005), Cameroun (Bodenheimer, 1951), CAR (Hoare 2007) D. R. Congo (Hoare 2007), Congo (Bani, 1995;
Nkouka, 1987; Takeda, 1990, Hoare
2007), Nigeria (Fasoranti & Ajiboye,";;larva
Rhynchophorus sp.;;Dryophthoridae;Col;palm weevil;Afr;Madagascar (Bodenheimer, 1951);;
Cybister;distinctus Reg.;Dytiscidae;Col;water beetle;Afr;Senegal Sierra Leone D. R. Congo;;
